セクション,ステータス,優先度,名前,所属 / ブランド,肩書き,ジャンル,URL,メモ
========既存リスト========,,,,,,,,
候補☆,,☆,マイク & ユリ,ポスタルコ,プロダクトデザイナー,プロダクト,https://www.instagram.com/postalco.tokyo/,
その他候補,,,石山さん,,,マーケ,,マーケ界隈起点,
========今日追加========,,,,,,,,
特別候補（長期視点）,,★★,山口智子,,女優 / 活動家,音楽 / 文化継承,,世界各地を旅し各文化の「歌う」行為を記録・継承。「残していかなくてはいけない」と発言。参考: https://youtu.be/W0FjPPpQDm0
ビジネス×思想,,★★,糸井重里,ほぼ日刊イトイ新聞,代表,メディア / プロダクト,,受託（コピーライター）から自社事業へ転換。言葉×場をつくり続けて30年
ビジネス×思想,,★★,土井善晴,,料理家,食文化,,「一汁一菜」で日本の食文化を再定義
ビジネス×思想,,★,松浦弥太郎,元COURRiER Japon等,編集者 / クリエイター,編集 / 暮らし,,編集×暮らし×ブランド。「丁寧につくる・長く使う」を複数事業で実践
ビジネス×思想,,★,山口絵理子,MOTHERHOUSE,代表,ファッション / 途上国ものづくり,,途上国の職人技を世界ブランドとして残す
マーケ界隈・X影響力,,★★,けんすう（古川健介）,アル,代表,テック / コンテンツ / 起業,https://x.com/kensuu,Xフォロワー100万超。マンガ×テクノロジーで「残るコンテンツ」を実験中
マーケ界隈・X影響力,,★★,佐渡島庸平,コルク,代表,コンテンツ / クリエイター経済,https://x.com/sadycork,「作家の才能を100年残す仕組みをつくる」がMONOQROMEテーマと直結
リサーチ候補（幅広く）,,,藤本壮介,藤本壮介建築設計事務所,建築家,建築,https://www.instagram.com/soufujimoto_architect/,2025大阪万博大屋根リング設計。「未来の原始」思想
リサーチ候補（幅広く）,,,田根剛,ATELIER TSUYOSHI TANE ARCHITECTS,建築家（パリ拠点）,建築,https://www.instagram.com/ateliertsuyoshitane/,「未来の考古学」。場所の記憶を建築として継承
リサーチ候補（幅広く）,,,挾間美帆,,ジャズ作曲家・指揮者（NY拠点）,音楽,https://www.instagram.com/mihohazama/,デンマーク・ラジオ・ビッグバンド首席指揮者。グラミー候補
リサーチ候補（幅広く）,,,大友良英,音遊びの会,音楽家（ノイズ・即興・映画音楽）,音楽,https://x.com/otomoyoshihide,インクルーシブな音楽実践を16年以上継続
リサーチ候補（幅広く）,,,藤倉大,Minabel Records,現代音楽作曲家（ロンドン拠点）,音楽,,自主レーベル運営。ブリテン=ピアーズ作曲賞など
リサーチ候補（幅広く）,,,石川直樹,,写真家・登山家,写真,https://www.instagram.com/naoki_ishikawa_official/,8000m峰全14座をフィルムで記録。アナログへのこだわり
