調査日,公開年月,カテゴリー,タイトル_作品名,ブランド_アーティスト,監督_クリエイター,プロダクション会社,国_地域,URL,映像表現の特徴,話題性_受賞,トレンドタグ
2026-05-26,2026-04,CM,Shape of Dreams,On,Spike Jonze,MJZ,スイス,https://www.youtube.com/watch?v=U_a-hNjrx3E,インカメラ実写トリック・強制遠近法で夢のラボ空間を完全実写構築,Ad of the Week受賞。ゼンデイヤ×スパイク・ジョーンズ初コラボ,SpikeJonze Zendaya インカメラ サーリアリスム スポーツウェア
2026-05-26,2026-02,CM,So Win,Nike,Kim Gehrig,Somesuch,アメリカ,https://www.wk.com/work/nike-so-win/,女性アスリート6人主演60秒。DoechiiVO×Led Zeppelin,Super Clio受賞。27年ぶりSB復活。Instagram9800万再生,KimGehrig W+K SuperBowl 女性アスリート Somesuch
2026-05-26,2026-02,CM,A Time And A Place,Anthropic / Claude,Jeff Low,Biscuit Filmworks,アメリカ,https://lbbonline.com/news/claude-anthropic-mother-jeff-low-super-bowl-commercial,AIに広告が乱入するディストピアをダークコメディで描く60秒作品,ANDY Awards GRANDY受賞。Webby Best Video Campaign,AIブランド ダークコメディ SuperBowl Mother BiscuitFilmworks
2026-05-26,2026-03,CM,Your Way Out,Coinbase,Oscar Hudson,Isle of Any,アメリカ,https://lbbonline.com/news/coinbase-oscars-ad-video-game-npcs-isle-of-any-oscar-hudson,ゲームNPC世界をCGIゼロ・完全実写の等角投影カメラで再現,アカデミー賞中継放映。インカメラ手法が業界で話題,OscarHudson インカメラ ゲーム美学 アカデミー賞 IsleOfAny
2026-05-26,2026-02,CM,For Papa!,Instacart,Spike Jonze,,アメリカ,https://www.youtube.com/watch?v=a1ysUdRLjaE,80年代放送カメラ×60ftステージ×生演奏の大規模ミュージカルCM,スーパーボウル。BenStiller×BensonBoone共演でバイラル,SpikeJonze SuperBowl ミュージカル 実写スペクタクル Instacart
2026-05-26,2026-05,ブランディングムービー,See it Differently,Away,Pennacky / Roman Coppola,The Directors Bureau,アメリカ,https://reel360.com/article/away-sees-things-differently-in-new-campaign/,東京の路地・電車・田園を旅人視点で追う詩的ドキュメンタリー,LBBOnline掲載。旅行を内省・視点転換として描く反論文,トラベルフィルム 東京ロケ RomanCoppola ブランドアンセム ドキュメンタリー
2026-05-26,2026-05,CM,For Everybody's Dog,The Farmer's Dog,Alma Har'el,Epoch,アメリカ,https://shots.net/news/view/every-dog-deserves-the-farmers-dog,船長・少女とマスティフの静謐な日常をドキュメンタリータッチで,LBB Work of the Week選出。Alma Har'elの感情的演出が話題,AlmaHarel Epoch ドキュメンタリー ペットブランド USA
2026-05-26,2026-05,MV,KIRA,adidas / Ado,ORIHARA,TBWA\Hakuhodo,日本,https://shorefire.com/releases/entry/ado-releases-new-music-video-kira,アニメと実写融合。W杯決勝でモンスターと戦う日本代表の叙事詩,adidas日本代表WCユニホームソング。国内外5000件超コメント,アニメMV ワールドカップ Ado 日本 TBWA
2026-05-26,2026-01,ブランディングムービー,Question Everything But Yourself,Equinox,Krish Menon / Gabe Miller,Angry Gods,アメリカ,https://lbbonline.com/news/equinox-2026-brand-campaign-AI,AI生成映像と実写を並置し人体の限界に問いかける挑発的キャンペーン,AI映像の意図的使用で広告業界内議論を呼ぶ,AIキャンペーン フィットネス AngryGods 挑発的 AI映像
2026-05-26,2026-01,ショートフィルム,Lily,Zoubeir Jlassi,Zoubeir Jlassi,,チュニジア,https://curiousrefuge.com/ai-film-gallery/lily-ai-short-animation,全編AI生成で孤独・記憶・AIの哲学を映像詩として表現,Google AI Film Award $100万受賞。3500作品116ヶ国から選出,AI映像 ショートフィルム チュニジア 映像詩 GoogleAIAward
2026-05-26,2025-12,CM,Designed for Every Student,Apple,Kim Gehrig,Somesuch,アメリカ,https://www.youtube.com/watch?v=84ze8Ypir8Q,障がい学生がキャンパスで繰り広げるジョイフルなミュージカルナンバー,国際障害者デー公開。KimGehrigによるAppleアクセシビリティ第二弾,KimGehrig Apple アクセシビリティ ミュージカル 多様性
2026-05-26,2025-04,MV,Anxiety,Doechii,James Mackel,Adele Drive,アメリカ,https://www.youtube.com/watch?v=riCP9x31Kuk,ホラー的日常カオスをユーモラスに描くGotye「Somebody」サンプリングMV,2026 Grammy Best Music Video受賞,Grammy受賞 JamesMackel Doechii ヒップホップ ホラーユーモア
2026-05-26,2025-08,ファッションフィルム,Better in Denim,Gap,Bethany Vargas,,アメリカ,https://www.adsoftheworld.com/campaigns/better-in-denim,KATSEYEがKelis「Milkshake」でコレオグラフィを披露するポップ疾走感,Berlin Fashion Film Festival 2026 Lifestyle部門受賞,BethanyVargas KATSEYE ダンスフィルム BFFF2026 ファッション
2026-05-26,2024-06,ショートフィルム,Night Fishing,Hyundai,Moon Byoung-Gon,Hyundai Motor / Innocean,韓国,https://www.hyundai.com/worldwide/en/newsroom/detail/0000000777,IONIQ 5の車載7台カメラのみで撮影するEV視点スリラー短編,Cannes Lions 2025 Entertainment Grand Prix受賞,韓国ブランドムービー インカメラ CannesLions スリラー EV
2026-05-26,2025-12,ブランディングムービー,Driven: Journey to Le Mans,Arm,不明,WING,イギリス,https://www.youtube.com/watch?v=KKPwnZ_VFrI,女性ドライバーのル・マン挑戦を追うシネマティックドキュメンタリー,Brand Film Awards 2026 Branded Programme最優秀賞受賞,ブランドフィルム ドキュメンタリー モータースポーツ 女性 UK
2026-05-26,2024-11,MV,So Be It,Clipse,Hannan Hussain,,アメリカ,https://www.youtube.com/watch?v=URlPXepBZdo,モノクロ・マンション×クラシックカーのラグジュアリーで静謐な映像美,2026 Grammy Best Music Video ノミネート。Pharrell制作,HannanHussain Clipse モノクロ Grammy ヒップホップ
