"調査日","公開年月","カテゴリー","タイトル_作品名","ブランド_アーティスト","監督_クリエイター","プロダクション会社","国_地域","URL","映像表現の特徴","話題性_受賞","トレンドタグ"
2026-06-22,2026年06月,クリエイティブキャンペーン,"L'Oréal×OpenAI戦略提携：AIビューティ体験をChatGPTへ（L'Oreal OpenAI VivaTech 2026）","L'Oréal（SkinCeuticals / CeraVe / La Roche-Posay）",,,"フランス / グローバル",https://www.loreal-finance.com/eng/news-event/loreal-and-openai-join-forces-transformation-beauty-ai,"2026年6月17日にVivaTech Parisで発表。SkinCeuticalsとCeraVeはChatGPTの広告パイロットに参加しユーザー意図に基づくAIネイティブ広告を展開。La Roche-PosayはGPT-Rosalindで皮膚マイクロバイオームを解析し次世代スキンケアを研究。MaybellineはModiFaceを活用したChatGPT上のバーチャル試着を実現。","VivaTech 2026発表。美容×生成AI領域における業界最大規模のプラットフォーム統合。",スキンケア AI テクノロジー D2C 欧州 ChatGPT
2026-06-22,2026年06月,クリエイティブキャンペーン,"ELEMIS×アストンマーティンF1 セルフリッジス体験型ポップアップ（Elemis Aston Martin F1 Selfridges）",ELEMIS,,"Backlash（体験デザイン）",英国,https://cosmeticsbusiness.com/elemis-to-host-formula-1-themed-pop-uo-selfridges,"2026年6月18〜24日にロンドン・セルフリッジスでアストンマーティン・アラムコF1チームとの体験型ポップアップを開催。パフォーマンス・精密さ・革新という共通価値を体現したスキンケアエクスペリエンスを演出。英国グランプリ（7月3日）に向けたブランドアクティベーション。","英国グランプリ直前の高視認性タイミング。Elemis×Aston Martin限定スキンケアコレクション展開中。",スキンケア F1 スポーツコラボ 体験型 英国 プレステージ
2026-06-22,2026年06月,製品ローンチ,"e.l.f. Hair「What the h.e.l.f.?」— ヘアケアカテゴリー参入キャンペーン",e.l.f. Beauty,Ulf Johansson,Tombras,米国,https://www.businesswire.com/news/home/20260615770928/en/Look-Whos-e.l.f.ing-Hair-e.l.f.-Enters-the-Haircare-Chat-in-New-Category-Extension,"2026年6月15日ローンチ。ビッグフット（演：Robert Strange）がアンチフリズスプレーを発見してロングヘアに変身する30秒スポット。ペイトン・リスト＆Yonna Jay出演。TikTok Shop（6/16）→elfhaircare.com→Target（6/24）と段階展開。Robloxバーチャルビューティ店舗アクティベーションも同時実施。","全6品をUS$10以下で提供。77%のコミュニティがヘアケアに関心を示したデータを根拠に開発。コミュニティのインサイト主導型ライン拡張。",コスメ ヘアケア D2C ユーモア TikTok Roblox 米国 Z世代
2026-06-22,2026年06月,受賞・業界シグナル,"MakeUp in Paris 2026 ITアワード授賞式",複数ブランド（Chromavis Fareva / Taiki Cosmetics Europe 他）,,,"フランス / グローバル",https://www.makeup-in-paris.com/en/program-animations/it-awards,"2026年6月17〜18日にカルーゼル・デュ・ルーヴルで開催。スキンケアアクティブ・AIとR&D・バイオミミクリー等の処方革新を150社超・30カ国から評価。ChromavisはCaramel Mascaraでフード由来カラメル化多糖類技術が評価。TaikiはリンパActiveBrushがレディ・トゥ・マーケット賞受賞。","100以上のイノベーションを認定。Chanel・L'Oréal・Clarins等主要ブランドが出展。",スキンケア 処方革新 パッケージ B2B フランス 業界シグナル
2026-06-22,2026年06月,受賞・業界シグナル,"Cannes Lions 2026 エンターテインメント部門ショートリスト — e.l.f.「E.L.F. Presenta: MELISA」",e.l.f. Cosmetics,Tim Heidecker,72andSunny Amsterdam,米国,https://roastbrief.us/cannes-lions-2026-unveils-the-entertainment-lions-shortlist-featuring-62-finalists-that-show-how-brands-are-competing-for-attention-through-film-content-experiences-talent-and-culture/,"スーパーボウル2026向けのテレノベラ風コスメ広告。メリッサ・マッカーシー主演。ビビッドな彩度・30fpsソープオペラ演出でユーモアと文化融合を体現。Itatí Cantoral・Nicholas Gonzálezが共演。英語圏がスペイン語を学ぶ文化コンテクストを活用しPeacockで先行公開。","2026年6月21日Cannes Lions第2波ショートリスト入り（エンターテインメント：ユーモア活用部門）。スーパーボウル中に大反響。",コスメ ユーモア テレノベラ スーパーボウル Cannes2026 米国
2026-06-22,2026年06月,受賞・業界シグナル,"Cannes Lions 2026 クリエイティブブランド部門ショートリスト — e.l.f. Beauty「Marketing Engine」",e.l.f. Beauty,,,"米国",https://campaignbriefasia.com/2026/06/21/cannes-lions-releases-second-wave-of-shortlists/,"2026年6月21日発表のCannes Lions第2波でクリエイティブブランド部門（マーケティング効果&成長カテゴリー）にショートリスト入り。音楽・ゲーム・スポーツへの越境コラボを軸にブランド成長エンジンを構築した統合マーケティング戦略が評価。10作品中の唯一の美容ブランド。","2026年6月21日Cannes Lions第2波ショートリスト。6市場10作品中に選出。",コスメ ブランド戦略 マーケティング Cannes2026 米国 D2C
2026-06-22,2026年06月,受賞・業界シグナル,"Cannes Lions 2026 ヘルス＆ウェルネス部門ショートリスト — 96作品選出",複数ブランド,,,"グローバル（米国・英国・フランス・豪州・シンガポール他20市場）",https://roastbrief.us/cannes-lions-2026-unveils-the-health-wellness-lions-shortlist-featuring-96-finalists-that-show-how-creativity-is-reshaping-healthcare-prevention-wellbeing-and-personal-care/,"2026年6月21日発表。96作品・12サブカテゴリー。パーソナルウェルビーイング・ヘルス教育・予防・セルフケア等のクリエイティビティを評価。個人ケア・スキンケア分野からの複数エントリーを含む。審査委員長はOgilvy India CCO・Kainaz Karmakar。","Cannes Lions 2026フェスティバル開幕（6/22〜26）と同日発表。健康×クリエイティビティのグローバル動向を示す。",スキンケア ヘルス ウェルネス Cannes2026 グローバル 業界シグナル
2026-06-22,2026年06月,SNS・インフルエンサー,"Anua UK セルフリッジス全国ポップアップツアー — マンチェスター追加発表（PDRN スキンケア体験）",Anua,,CNC Agency,"韓国 / 英国",https://theindustry.beauty/anua-brings-pop-up-tour-to-selfridges-manchester-as-k-beauty-demand-grows/,"今週マンチェスター・セルフリッジス（6/29〜7/12）出店を発表。オックスフォードストリート→バーミンガム・ブルリングと続いた英国限定ツアーの最終章。PDRN 2000ppm配合ミストのハイドレーション測定体験・デューカフェ・フォトブースで体験型に仕上げた。英国限定PDRN Lip Serumも発売。","英国独占展開でK-beauty需要急増。Kendall Jenner起用のグローバルキャンペーン「Dew On The Go」と連動。Selfridgesとの独占パートナーシップ継続中。",K-beauty PDRN 体験型 ポップアップ インフルエンサー 英国 K-skincare
"2026-07-14","2026年07月","受賞・業界シグナル","Rhode（Hailey Bieber）がSephora.com 2026年上半期の最多検索ビューティーブランド1位","Rhode","","","米国","https://www.realitytea.com/2026/07/14/hailey-bieber-rhode-sephora-search-rankings-rare-beauty/","セレブ発D2Cスキンケアの検索支配。約59万件の検索でRare Beauty等を上回りSephora.comで首位。ミニマルなブランディングとSNSの求心力が奏功","Sephora.com H1 2026 最多検索1位（約593.9K）","スキンケア D2C セレブブランド 検索1位"
"2026-07-09","2026年07月","製品ローンチ","BeautyMatter Week 28 新製品まとめ（Stellar Beauty ティーン向け/Mayah 母親向け）","複数ブランド","","","グローバル","https://beautymatter.com/articles/2026-week-28-beauty-brand-and-product-launches","ティーン向け(Stellar Beauty)・母親向け(Mayah)などライフステージ特化の新興スキンケアが登場。世代/セグメントの細分化が進行","","スキンケア 新製品 ティーン ライフステージ"
